# DS_ClickRecovery Optimisation
# Fri Dec  4 12:02:24 AUSEDT 2009
 
#param.w.x[glg][ds] = 0.000762784	[1e-06,0.03]
#param.w.x[hsr][ds] = 0.0020035	[1e-06,0.03]
#param.w.x[lsr][ds] = 0.0029535	[1e-06,0.03]
#dstellate_gkltbar = 0.0162158	[1e-06,0.03]
#gaba_decay = 9.77238	[1e-06,0.03]
#gaba_rise = 0.85192	[1e-06,0.03]
#dstellate_gleak_rm = 0.000701311	[1e-06,0.03]
# final error=0.137221
# unweighted error=0.021329
# Click Delay (ms)	Target Rate (normalised)	 Output
2	1.000	0.200	1.000	0.000
3	1.000	0.300	1.000	0.140
4	1.000	0.450	1.000	0.760
8	1.000	0.630	1.000	1.000
16	1.000	1.000	1.000	1.000
# Error in quiet regions
#  0.000
#  0.000
#  0.000
#  0.000
# Principle axis matrix
#	-1	-0	-0	-0	-0	-0	-0	
#	-0.867796	0.496921	0	0	0	0	0	
#	-0.229946	0.129489	-0.157892	0.205095	-0.212418	0.870108	-0.247295	
#	0.562642	-0.329032	-0.129889	-0.0923032	0.585781	-0.167675	-0.422524	
#	0.672063	0.0904507	-0.243087	-0.0468849	-0.3533	-0.523057	0.283638	
#	0.506365	-0.300605	-0.0549891	-0.153395	-0.40442	-0.615052	0.29126	
#	-0.477867	-0.000332424	-0.44413	-0.0135668	-0.0131329	0.606713	-0.4538	
