# DS_ClickRecovery Optimisation
# Fri Dec  4 10:25:24 AUSEDT 2009
 
#param.w.x[glg][ds] = 0.0012869	[1e-06,0.03]
#param.w.x[hsr][ds] = 0.00191251	[1e-06,0.03]
#param.w.x[lsr][ds] = 0.00317718	[1e-06,0.03]
#dstellate_gkltbar = 0.0121176	[1e-06,0.03]
#gaba_decay = 13.9132	[1e-06,0.03]
#gaba_rise = 0.552764	[1e-06,0.03]
#dstellate_gleak_rm = 0.00037201	[1e-06,0.03]
# final error=0.113364
# unweighted error=0.021471
# Click Delay (ms)	Target Rate (normalised)	 Output
2	1.000	0.200	1.000	0.100
3	1.000	0.300	1.000	0.260
4	1.000	0.450	1.000	0.840
8	1.000	0.630	1.000	1.000
16	1.000	1.000	1.000	1.000
# Error in quiet regions
#  0.000
#  0.000
#  0.000
#  0.000
# Principle axis matrix
#	1	0	0	0	0	0	0	
#	-0.974227	0.22557	0	0	0	0	0	
#	0	0	1	0	0	0	0	
#	0.418769	-0.144009	0.186347	-0.452052	0.524672	-0.175043	-0.50882	
#	0.291977	-0.108082	0.146029	-0.322997	-0.445616	-0.738277	-0.183821	
#	0.128025	0.0243464	-0.697341	0.234673	0.213855	0.60395	0.176555	
#	0.56627	-0.0996713	0.551807	-0.453406	0.250993	-0.307886	0.0392993	
