# DS_ClickRecovery Optimisation
# Fri Dec  4 21:04:03 AUSEDT 2009
 
#param.w.x[glg][ds] = 0.00099562	[1e-06,0.03]
#param.w.x[hsr][ds] = 0.000917892	[1e-06,0.03]
#param.w.x[lsr][ds] = 0.00194133	[1e-06,0.03]
#dstellate_gkltbar = 0.00298239	[1e-06,0.03]
#gaba_decay = 8.92625	[1e-06,0.03]
#gaba_rise = 2.15839	[1e-06,0.03]
#dstellate_gleak_rm = 0.000945544	[1e-06,0.03]
# final error=0.017443
# unweighted error=0.017443
# Click Delay (ms)	Target Rate (normalised)	 Output
2	1.000	0.200	1.000	0.020
3	1.000	0.300	1.000	0.340
4	1.000	0.450	1.000	0.720
8	1.000	0.630	1.000	1.000
16	1.000	1.000	1.000	1.000
# Error in quiet regions
#  0.000
#  0.020
#  0.000
#  0.000
# Principle axis matrix
#	0	-0.112921	0.0399211	-0.223582	-0.0552007	-0.123894	-0.957742	
#	-0.0288455	-0.377224	-0.239707	-0.0240731	-0.848543	-0.00432435	-0.280692	
#	0.00503554	0.304853	0.0798533	-0.906004	-0.209438	0.0336417	0.186609	
#	-0.176042	0.608847	0.0663819	0.135411	0.25017	0.686604	-0.203867	
#	0.730285	0.443634	-0.0336477	0.234812	-0.444081	-0.107882	-0.0689738	
#	-0.634962	0.226589	0.147022	0.229074	-0.660829	-0.185885	-0.0119302	
#	0.180228	-0.40765	0.727842	0.0140817	-0.271459	0.443375	0.0334049	
